proverb,normalized,source,tokens
کاسه کوزه ها یا کاسه کوزه ی چیزی را سر کسی شکستن,کاسه کوزه یا کاسه کوزه چیزی را سر کسی شکستن,abadis_proverb,"['کاسه', 'کوزه', 'یا', 'کاسه', 'کوزه', 'چیزی', 'را', 'سر', 'کسی', 'شکستن']"
کاسه ی داغ تر یا گرم تر از اش,کاسه داغ یا گرم از,abadis_proverb,"['کاسه', 'داغ', 'یا', 'گرم', 'از']"
کاسه ی صبر کسی لب ریزشدن,کاسه صبر کسی لب ریزشدن,abadis_proverb,"['کاسه', 'صبر', 'کسی', 'لب', 'ریزش', '##دن']"
کاش پاهایم شکسته بود,کاش پا شکست#شکن,abadis_proverb,"['کاش', 'پا', 'شکست', '[UNK]', 'شکن']"
کاش دوقلو بودی,کاش دوقلو بود#است,abadis_proverb,"['کاش', 'دوقلو', 'بود', '[UNK]', 'است']"
کبکش خروس می خونه,کبک خروس می‌خونه,abadis_proverb,"['کبک', 'خروس', 'میخونه']"
کپه مرگ,کپه مرگ,abadis_proverb,"['کپه', 'مرگ']"
کت بده کلاه بده دو قورت و نیم بالا بده,کت بده کلاه بده دو قورت و نیم بالا بده,abadis_proverb,"['کت', 'بده', 'کلاه', 'بده', 'دو', 'قورت', 'و', 'نیم', 'بالا', 'بده']"
کج دار و مریز,کج دار و مریز,abadis_proverb,"['کج', 'دار', 'و', 'مریز']"
کج دار و مریز یا کج دارومریز کردن,کج دار و مریز یا کج دارومریز کردن,abadis_proverb,"['کج', 'دار', 'و', 'مریز', 'یا', 'کج', 'دارو', '##مری', '##ز', 'کردن']"
کجا خوش است انجا که دل خوش است,کجا خوش است انجا که دل‌خوش است,abadis_proverb,"['کجا', 'خوش', 'است', 'انجا', 'که', 'دلخوش', 'است']"
کربلا رفتنت بهانه بود کربلا در میان خانه بود,کربلا رفتن بهانه بود#است کربلا در میان خانه بود#است,abadis_proverb,"['کربلا', 'رفتن', 'بهانه', 'بود', '[UNK]', 'است', 'کربلا', 'در', 'میان', 'خانه', 'بود', '[UNK]', 'است']"
کردان,کردان,abadis_proverb,['کردان']
کرم از درخت است,کرم از درخت است,abadis_proverb,"['کرم', 'از', 'درخت', 'است']"
کرم کار است,کرم کار است,abadis_proverb,"['کرم', 'کار', 'است']"
کرمو,کرمو,abadis_proverb,"['کرم', '##و']"
کره,کره,abadis_proverb,['کره']
کره خر امد و الاغ رفت,کره خر امد و الاغ رفت#رو,abadis_proverb,"['کره', 'خر', 'امد', 'و', 'الاغ', 'رفت', '[UNK]', 'رو']"
کره خوری,کره خورد#خور,abadis_proverb,"['کره', 'خورد', '[UNK]', 'خور']"
کره کردن,کره کردن,abadis_proverb,"['کره', 'کردن']"
کرکری خواندن,کرکری خواندن,abadis_proverb,"['کرک', '##ری', 'خواندن']"
کسی از چیزی عارش می اید,کسی از چیزی عار می‌اید,abadis_proverb,"['کسی', 'از', 'چیزی', 'عار', 'میاید']"
کسی اگر طناب مفت پیدا کند یا گیر بیاورد خودش را دار می زند,کسی اگر طناب مفت پیدا کند یا گیر بیاورد خودش را دار زد#زن,abadis_proverb,"['کسی', 'اگر', 'طناب', 'مفت', 'پیدا', 'کند', 'یا', 'گیر', 'بیاورد', 'خودش', 'را', 'دار', 'زد', '[UNK]', 'زن']"
کسی اه ندارد تا با ناله سودا کند,کسی اه داشت#دار تا با ناله سودا کند,abadis_proverb,"['کسی', 'اه', 'داشت', '[UNK]', 'دار', 'تا', 'با', 'ناله', 'سودا', 'کند']"
کسی به اهو می گوید بدو و به تازی می گوید بگیر,کسی به اهو گفت#گو بدو و به تازی گفت#گو بگیر,abadis_proverb,"['کسی', 'به', 'اهو', 'گفت', '[UNK]', 'گو', 'بدو', 'و', 'به', 'تازی', 'گفت', '[UNK]', 'گو', 'بگیر']"
کسی به ماه می گوید تو درنیا که من درامدم,کسی به ماه گفت#گو تو درنیا که من درامد,abadis_proverb,"['کسی', 'به', 'ماه', 'گفت', '[UNK]', 'گو', 'تو', 'درنی', '##ا', 'که', 'من', 'درامد']"
کسی به کون خودش می گوید بو می دهی دنبال من نیا,کسی به کون خودش گفت#گو بو داد#ده دنبال من نیا,abadis_proverb,"['کسی', 'به', 'کون', 'خودش', 'گفت', '[UNK]', 'گو', 'بو', 'داد', '[UNK]', 'ده', 'دنبال', 'من', 'نیا']"
کسی جایی نمی خوابد که زیرش اب برود,کسی جایی خفت#خواب که زیر اب رفت#رو,abadis_proverb,"['کسی', 'جایی', 'خفت', '[UNK]', 'خواب', 'که', 'زیر', 'اب', 'رفت', '[UNK]', 'رو']"
کسی را با خود چپ انداختن,کسی را با خود چپ انداختن,abadis_proverb,"['کسی', 'را', 'با', 'خود', 'چپ', 'انداختن']"
کسی را به جای یا سر جای خود نشاندن,کسی را به جای یا سر جای خود نشاندن,abadis_proverb,"['کسی', 'را', 'به', 'جای', 'یا', 'سر', 'جای', 'خود', 'نشاندن']"
کسی را به حال خود گذاشتن,کسی را به حال خود گذاشت#گذار,abadis_proverb,"['کسی', 'را', 'به', 'حال', 'خود', 'گذاشت', '[UNK]', 'گذار']"
کسی را به خاک سیاه نشاندن,کسی را به خاک سیاه نشاندن,abadis_proverb,"['کسی', 'را', 'به', 'خاک', 'سیاه', 'نشاندن']"
کسی را به هر سازی رقصاندن,کسی را به هر سازی رقصاندن,abadis_proverb,"['کسی', 'را', 'به', 'هر', 'سازی', 'رقصان', '##دن']"
کسی را به یا توی هچل انداختن,کسی را به یا توی هچل انداختن,abadis_proverb,"['کسی', 'را', 'به', 'یا', 'توی', 'هچ', '##ل', 'انداختن']"
کسی را تروخشک کردن,کسی را تروخشک کردن,abadis_proverb,"['کسی', 'را', 'ترو', '##خشک', 'کردن']"
کسی را چیزخور کردن,کسی را چیزخور کردن,abadis_proverb,"['کسی', 'را', 'چیز', '##خور', 'کردن']"
کسی را خر گیر اوردن,کسی را خر گیر اوردن,abadis_proverb,"['کسی', 'را', 'خر', 'گیر', 'اوردن']"
کسی را داغ کردن,کسی را داغ کردن,abadis_proverb,"['کسی', 'را', 'داغ', 'کردن']"
کسی را روی تخم چشم جا دادن کسی,کسی را روی تخم چشم جا دادن کسی,abadis_proverb,"['کسی', 'را', 'روی', 'تخم', 'چشم', 'جا', 'دادن', 'کسی']"
کسی را زابه را یا زابرا یا زابراه کردن,کسی را زابه را یا زابرا یا زابراه کردن,abadis_proverb,"['کسی', 'را', 'زاب', '##ه', 'را', 'یا', 'زاب', '##را', 'یا', 'زاب', '##راه', 'کردن']"
کسی را زیر بال خود گرفتن,کسی را زیر بال خود گرفتن,abadis_proverb,"['کسی', 'را', 'زیر', 'بال', 'خود', 'گرفتن']"
کسی را زیر چتر خود گرفتن یا قرار دادن,کسی را زیر چتر خود گرفتن یا قرار دادن,abadis_proverb,"['کسی', 'را', 'زیر', 'چتر', 'خود', 'گرفتن', 'یا', 'قرار', 'دادن']"
کسی را سر زبان ها انداختن,کسی را سر زبان انداختن,abadis_proverb,"['کسی', 'را', 'سر', 'زبان', 'انداختن']"
کسی را سر طاس نشاندن,کسی را سر طاس نشاندن,abadis_proverb,"['کسی', 'را', 'سر', 'طاس', 'نشاندن']"
کسی را سنگ روی یخ کردن,کسی را سنگ روی یخ کردن,abadis_proverb,"['کسی', 'را', 'سنگ', 'روی', 'یخ', 'کردن']"
کسی را سکه ی یک پول کردن,کسی را سکه یک پول کردن,abadis_proverb,"['کسی', 'را', 'سکه', 'یک', 'پول', 'کردن']"
کسی را قر زدن,کسی را قر زدن,abadis_proverb,"['کسی', 'را', 'قر', 'زدن']"
کسی را مات بردن یا زدن,کسی را مات بردن یا زدن,abadis_proverb,"['کسی', 'را', 'مات', 'بردن', 'یا', 'زدن']"
کسی را مقر اوردن,کسی را مقر اوردن,abadis_proverb,"['کسی', 'را', 'مقر', 'اوردن']"
کسی را نعل کردن,کسی را نعل کردن,abadis_proverb,"['کسی', 'را', 'نعل', 'کردن']"
کسی صد چاقو می سازد یکی از انها هم دسته ندارد,کسی صد چاقو ساخت#ساز یکی از انها هم دسته داشت#دار,abadis_proverb,"['کسی', 'صد', 'چاقو', 'ساخت', '[UNK]', 'ساز', 'یکی', 'از', 'انها', 'هم', 'دسته', 'داشت', '[UNK]', 'دار']"
کسی نخارد پشت من جز ناخن انگشت من,کسی خارید#خار پشت من جز ناخن انگشت من,abadis_proverb,"['کسی', 'خاری', '##د', '[UNK]', 'خار', 'پشت', 'من', 'جز', 'ناخن', 'انگشت', 'من']"
کسی نمی تواند تخم دیگری را هم بخورد یا بگیرد,کسی توانست#توان تخم دیگری را هم خورد#خور یا گرفت#گیر,abadis_proverb,"['کسی', 'توانست', '[UNK]', 'توان', 'تخم', 'دیگری', 'را', 'هم', 'خورد', '[UNK]', 'خور', 'یا', 'گرفت', '[UNK]', 'گیر']"
کسی نمی داند چه خاکی به یا بر سر خود بریزد یا کند,کسی دانست#دان چه خاکی به یا بر سر خود برشت#بریز یا کند,abadis_proverb,"['کسی', 'دانست', '[UNK]', 'دان', 'چه', 'خاکی', 'به', 'یا', 'بر', 'سر', 'خود', 'برشت', '[UNK]', 'بریز', 'یا', 'کند']"
کسی که به ما نریده بود کلاغ کو دریده بود,کسی که به ما رید#رین کلاغ کو درید#در,abadis_proverb,"['کسی', 'که', 'به', 'ما', 'رید', '[UNK]', 'رین', 'کلاغ', 'کو', 'درید', '[UNK]', 'در']"
کسی که نمی داند فقط خواجه حافظ شیراز است,کسی که دانست#دان فقط خواجه حافظ شیراز است,abadis_proverb,"['کسی', 'که', 'دانست', '[UNK]', 'دان', 'فقط', 'خواجه', 'حافظ', 'شیراز', 'است']"
کسی یا چیزی را توی یا در اب نمک خواباندن,کسی یا چیزی را توی یا در اب نمک خواباندن,abadis_proverb,"['کسی', 'یا', 'چیزی', 'را', 'توی', 'یا', 'در', 'اب', 'نمک', 'خواباندن']"
کشتی ها غرش شده,کشتی غرش شده,abadis_proverb,"['کشتی', 'غرش', 'شده']"
کشک چه یا چی پشم چه یا چی یا چه کشکی چه پشمی,کشک چه یا چی پشم چه یا چی یا چه کشکی چه پشمی,abadis_proverb,"['کشک', 'چه', 'یا', 'چی', 'پشم', 'چه', 'یا', 'چی', 'یا', 'چه', 'کشک', '##ی', 'چه', 'پشمی']"
کشک چی پشم چی,کشک چی پشم چی,abadis_proverb,"['کشک', 'چی', 'پشم', 'چی']"
کشک خود را ساییدن یا سابیدن,کشک خود را ساییدن یا سابیدن,abadis_proverb,"['کشک', 'خود', 'را', 'ساییدن', 'یا', 'ساب', '##یدن']"
کف دست خود را بو کردن,کف دست خود را بو کردن,abadis_proverb,"['کف', 'دست', 'خود', 'را', 'بو', 'کردن']"
کف دستش مثل کون بچه صافه,کف دستش مثل کون بچه صافه,abadis_proverb,"['کف', 'دستش', 'مثل', 'کون', 'بچه', 'صاف', '##ه']"
کف دستم را بو نکرده بودم,کف دستم را بو کرد#کن,abadis_proverb,"['کف', 'دستم', 'را', 'بو', 'کرد', '[UNK]', 'کن']"
کف دستی را که مو ندارد نمی شود کند,کف دستی را که مو داشت#دار شد#شو کند,abadis_proverb,"['کف', 'دستی', 'را', 'که', 'مو', 'داشت', '[UNK]', 'دار', 'شد', '[UNK]', 'شو', 'کند']"
کف رفتن,کف رفتن,abadis_proverb,"['کف', 'رفتن']"
کف و خون بالا اوردن,کف و خون بالا اوردن,abadis_proverb,"['کف', 'و', 'خون', 'بالا', 'اوردن']"
کف کسی بریدن,کف کسی بریدن,abadis_proverb,"['کف', 'کسی', 'بریدن']"
کفر کسی را بالا اوردن,کفر کسی را بالا اوردن,abadis_proverb,"['کفر', 'کسی', 'را', 'بالا', 'اوردن']"
کفش کسی را جفت کردن,کفش کسی را جفت کردن,abadis_proverb,"['کفش', 'کسی', 'را', 'جفت', 'کردن']"
کفگیر به ته دیگ خوردن,کفگیر به ته‌دیگ خوردن,abadis_proverb,"['کفگیر', 'به', 'تهدی', '##گ', 'خوردن']"
کفگیر کسی به ته دیگ خوردن,کفگیر کسی به ته‌دیگ خوردن,abadis_proverb,"['کفگیر', 'کسی', 'به', 'تهدی', '##گ', 'خوردن']"
کل اگر طبیب بودی سر خود دوا نمودی,کل اگر طبیب بود#است سر خود دوا نمود#نما,abadis_proverb,"['کل', 'اگر', 'طبیب', 'بود', '[UNK]', 'است', 'سر', 'خود', 'دوا', 'نمود', '[UNK]', 'نما']"
کلا همان تو هم می رود,کلا همان تو هم رفت#رو,abadis_proverb,"['کلا', 'همان', 'تو', 'هم', 'رفت', '[UNK]', 'رو']"
کلاغه امد راه رفتن کبک را یاد بگیره راه رفتن خودش هم یادش رفت,کلاغه امد راه رفتن کبک را یاد بگیره راه رفتن خودش هم یادش رفت#رو,abadis_proverb,"['کلاغ', '##ه', 'امد', 'راه', 'رفتن', 'کبک', 'را', 'یاد', 'بگیره', 'راه', 'رفتن', 'خودش', 'هم', 'یادش', 'رفت', '[UNK]', 'رو']"
کلاف سردرگم,کلاف سردرگم,abadis_proverb,"['کلاف', 'سردرگم']"
کی به کیه تاریکیه,کی به کیه تاریکیه,abadis_proverb,"['کی', 'به', 'کیه', 'تاریکی', '##ه']"
کی میره این همه راه رو,کی میره این همه راه رو,abadis_proverb,"['کی', 'میره', 'این', 'همه', 'راه', 'رو']"
کینه شتری,کینه شتری,abadis_proverb,"['کینه', 'شتری']"
گاگوول,گاگوول,abadis_proverb,"['گا', '##گوو', '##ل']"
گاهی به اداگاهی به اصول گاهی به خدا گاهی به رسول,گاهی به اداگاهی به اصول گاهی به خدا گاهی به رسول,abadis_proverb,"['گاهی', 'به', 'ادا', '##گاهی', 'به', 'اصول', 'گاهی', 'به', 'خدا', 'گاهی', 'به', 'رسول']"
گاهی به نعل و گاهی به میخ زدن,گاهی به نعل و گاهی به میخ زدن,abadis_proverb,"['گاهی', 'به', 'نعل', 'و', 'گاهی', 'به', 'میخ', 'زدن']"
گاو بی شاخ و دم,گاو بی شاخ و دم,abadis_proverb,"['گاو', 'بی', 'شاخ', 'و', 'دم']"
گاو پیشانی سفید,گاو پیشانی سفید,abadis_proverb,"['گاو', 'پیشانی', 'سفید']"
گاو خوش اب و علف,گاو خوش اب و علف,abadis_proverb,"['گاو', 'خوش', 'اب', 'و', 'علف']"
گاو نه من شیرده,گاو نه من شیرده,abadis_proverb,"['گاو', 'نه', 'من', 'شیرده']"
گاو کسی زاییدن,گاو کسی زاییدن,abadis_proverb,"['گاو', 'کسی', 'زایید', '##ن']"
گاوبندی,گاوبندی,abadis_proverb,"['گاوب', '##ندی']"
گاوش زائید,گاو زائید,abadis_proverb,"['گاو', 'زايی', '##د']"
گدا به گدا رحمت به خدا,گدا به گدا رحمت به خدا,abadis_proverb,"['گدا', 'به', 'گدا', 'رحمت', 'به', 'خدا']"
گدا حیا ندارد,گدا حیا داشت#دار,abadis_proverb,"['گدا', 'حیا', 'داشت', '[UNK]', 'دار']"
گدابازی دراوردن,گدابازی دراوردن,abadis_proverb,"['گدا', '##بازی', 'دراوردن']"
گذر پوست به دباغ خانه می افتد,گذر پوست به دباغ خانه افتاد#افت,abadis_proverb,"['گذر', 'پوست', 'به', 'دباغ', 'خانه', 'افتاد', '[UNK]', 'افت']"
گذشت انچه گذشت,گذشت#گذر انچه گذشت#گذر,abadis_proverb,"['گذشت', '[UNK]', 'گذر', 'انچه', 'گذشت', '[UNK]', 'گذر']"
گر تو بهتر می زنی بستان بزن,گر تو بهتر زد#زن بستان بزن,abadis_proverb,"['گر', 'تو', 'بهتر', 'زد', '[UNK]', 'زن', 'بستان', 'بزن']"
گر صبر کنی ز غوره حلوا سازی,گر صبر کرد#کن ز غوره حلوا سازی,abadis_proverb,"['گر', 'صبر', 'کرد', '[UNK]', 'کن', 'ز', 'غوره', 'حلوا', 'سازی']"
گران تمام شدن برای کسی,گران تمام شدن برای کسی,abadis_proverb,"['گران', 'تمام', 'شدن', 'برای', 'کسی']"
گربه امد و ان دنبه را برد,گربه امد و ان دنبه را برد,abadis_proverb,"['گربه', 'امد', 'و', 'ان', 'دنبه', 'را', 'برد']"
گربه دستش به گوشت نمی رسه میگه بو میده,گربه دستش به گوشت نمی‌رسه میگه بو میده,abadis_proverb,"['گربه', 'دستش', 'به', 'گوشت', 'نمیرسه', 'میگه', 'بو', 'میده']"
گربه را باید دم حجله کشت,گربه را باید دم حجله کشت,abadis_proverb,"['گربه', 'را', 'باید', 'دم', 'حجله', 'کشت']"
گربه را دم یا پای حجله کشتن,گربه را دم یا پای حجله کشتن,abadis_proverb,"['گربه', 'را', 'دم', 'یا', 'پای', 'حجله', 'کشتن']"
گربه رقصاندن,گربه رقصاندن,abadis_proverb,"['گربه', 'رقصان', '##دن']"
گربه رقصاندن یا گربه رقصانی دراوردن یا کردن,گربه رقصاندن یا گربه رقصان دراوردن یا کردن,abadis_proverb,"['گربه', 'رقصان', '##دن', 'یا', 'گربه', 'رقصان', 'دراوردن', 'یا', 'کردن']"
گربه شور,گربه شور,abadis_proverb,"['گربه', 'شور']"
گرخیدن,گرخیدن,abadis_proverb,"['گر', '##خی', '##دن']"
گردنم از مو باریک تر,گردنم از مو باریک,abadis_proverb,"['گردنم', 'از', 'مو', 'باریک']"
گرسنگی نکشیدی عاشقی یادت بره,گرسنگی کشید#کش عاشقی یادت بره,abadis_proverb,"['گرسنگی', 'کشید', '[UNK]', 'کش', 'عاشقی', 'یادت', 'بره']"
گرگ باران دیده,گرگ باران دیده,abadis_proverb,"['گرگ', 'باران', 'دیده']"
گرگ در لباس میش,گرگ در لباس میش,abadis_proverb,"['گرگ', 'در', 'لباس', 'میش']"
گرم گرفتن,گرم گرفتن,abadis_proverb,"['گرم', 'گرفتن']"
گزک دست کسی دادن یا افتادن,گزک دست کسی دادن یا افتادن,abadis_proverb,"['گز', '##ک', 'دست', 'کسی', 'دادن', 'یا', 'افتادن']"
گل از گلش شکفت,گل از گل شکفت#شکاف,abadis_proverb,"['گل', 'از', 'گل', 'شک', '##فت', '[UNK]', 'شکاف']"
گل بود به سبزه نیز اراسته شد,گل بود#است به سبزه نیز اراسته شد#شو,abadis_proverb,"['گل', 'بود', '[UNK]', 'است', 'به', 'سبزه', 'نیز', 'اراسته', 'شد', '[UNK]', 'شو']"
گل بی خار نمی شود,گل بی‌خار شد#شو,abadis_proverb,"['گل', 'بیخ', '##ار', 'شد', '[UNK]', 'شو']"
گل بی عیب خداست,گل بی‌عیب خداست,abadis_proverb,"['گل', 'بیعیب', 'خداست']"
گل پشت و رو ندارد,گل پشت و رو داشت#دار,abadis_proverb,"['گل', 'پشت', 'و', 'رو', 'داشت', '[UNK]', 'دار']"
گل سر سبد,گل سر سبد,abadis_proverb,"['گل', 'سر', 'سبد']"
گل گفتن و گل شنیدن,گل گفتن و گل شنیدن,abadis_proverb,"['گل', 'گفتن', 'و', 'گل', 'شنیدن']"
گنده گوزی کردن,گنده گوزی کردن,abadis_proverb,"['گنده', 'گوز', '##ی', 'کردن']"
گنه کرد در بلخ اهنگری به شوشتر زدند گردن مسگری,گنه کرد#کن در بلخ اهنگر به شوشتر زد#زن گردن مسگری,abadis_proverb,"['گنه', 'کرد', '[UNK]', 'کن', 'در', 'بلخ', 'اهنگر', 'به', 'شوشتر', 'زد', '[UNK]', 'زن', 'گردن', 'مسگری']"
گوجه زدن,گوجه زدن,abadis_proverb,"['گوجه', 'زدن']"
گورم کجا بود که کفنم باشه,گور کجا بود#است که کفنم باشه,abadis_proverb,"['گور', 'کجا', 'بود', '[UNK]', 'است', 'که', 'کفن', '##م', 'باشه']"
گوز را به شقیقه زدن,گوز را به شقیقه زدن,abadis_proverb,"['گوز', 'را', 'به', 'شقیقه', 'زدن']"
گوش اگر گوش تو و ناله اگر ناله ماست انچه البته به جایی نرسد فریاد است,گوش اگر گوش تو و ناله اگر ناله ماست انچه البته به جایی رسید#رس فریاد است,abadis_proverb,"['گوش', 'اگر', 'گوش', 'تو', 'و', 'ناله', 'اگر', 'ناله', 'ماست', 'انچه', 'البته', 'به', 'جایی', 'رسید', '[UNK]', 'رس', 'فریاد', 'است']"
گوش به زنگ,گوش به زنگ,abadis_proverb,"['گوش', 'به', 'زنگ']"
گوش به زنگ بودن,گوش به زنگ بودن,abadis_proverb,"['گوش', 'به', 'زنگ', 'بودن']"
گوش خواباندن,گوش خواباندن,abadis_proverb,"['گوش', 'خواباندن']"
گوش شیطان کر چشم شیطان کور,گوش شیطان کر چشم شیطان کور,abadis_proverb,"['گوش', 'شیطان', 'کر', 'چشم', 'شیطان', 'کور']"
گوشت,گوشت,abadis_proverb,['گوشت']
گوشت از دهان گرگ کشیدن,گوشت از دهان گرگ کشیدن,abadis_proverb,"['گوشت', 'از', 'دهان', 'گرگ', 'کشیدن']"
گوشت کوب,گوشت‌کوب,abadis_proverb,"['گوشت', '##کوب']"
گوشتش زیر دندونشه,گوشت زیر دندونشه,abadis_proverb,"['گوشت', 'زیر', 'دندون', '##شه']"
گوشش بدهکار نیست,گوش بدهکار نیست,abadis_proverb,"['گوش', 'بدهکار', 'نیست']"
گوشی دست کسی امدن,گوشید#گوش دست کسی امدن,abadis_proverb,"['گوشی', '##د', '[UNK]', 'گوش', 'دست', 'کسی', 'امدن']"
گولاخ,گولاخ,abadis_proverb,"['گول', '##اخ']"
گون,گون,abadis_proverb,['گون']
گیر سه پیچ,گیر سه پیچ,abadis_proverb,"['گیر', 'سه', 'پیچ']"
گیرم پدر تو بود فاضل از فضل پدر تو را چه حاصل,گرفت#گیر پدر تو بود#است فاضل از فضل پدر تو را چه حاصل,abadis_proverb,"['گرفت', '[UNK]', 'گیر', 'پدر', 'تو', 'بود', '[UNK]', 'است', 'فاضل', 'از', 'فضل', 'پدر', 'تو', 'را', 'چه', 'حاصل']"
گیوه را ور کشیدن,گیوه را ور کشیدن,abadis_proverb,"['گیوه', 'را', 'ور', 'کشیدن']"
لاپایی درکردن,لاپایی درکردن,abadis_proverb,"['لاپ', '##ایی', 'درک', '##ردن']"
لاس خشکه زدن,لاس خشکه زدن,abadis_proverb,"['لاس', 'خشکه', 'زدن']"
لال مانی یا لالمانی یا لالمونی گرفتن,لال مانی یا لالمانی یا لالمونی گرفتن,abadis_proverb,"['لال', 'مانی', 'یا', 'لال', '##مانی', 'یا', 'لال', '##مونی', 'گرفتن']"
لام تا کام صحبت نکردن,لام تا کام صحبت نکردن,abadis_proverb,"['لام', 'تا', 'کام', 'صحبت', 'نکردن']"
لاو انداختن,لاو انداختن,abadis_proverb,"['لاو', 'انداختن']"
لاو ترکاندن,لاو ترکاندن,abadis_proverb,"['لاو', 'ترکاندن']"
لای چیزی را درز گرفتن,لای چیزی را درز گرفتن,abadis_proverb,"['لای', 'چیزی', 'را', 'درز', 'گرفتن']"
لای سبیل یا لاسبیلی درکردن یا زیر سبیل یا زیرسبیلی درکردن,لای سبیل یا لاسبیلی درکردن یا زیر سبیل یا زیرسبیلی درکردن,abadis_proverb,"['لای', 'سبیل', 'یا', 'لاس', '##بیلی', 'درک', '##ردن', 'یا', 'زیر', 'سبیل', 'یا', 'زیرس', '##بیلی', 'درک', '##ردن']"
لایی کشیدن,لایی کشیدن,abadis_proverb,"['لایی', 'کشیدن']"
لب چشمه می روم خشکه می شه,لب چشمه رفت#رو خشکه می‌شه,abadis_proverb,"['لب', 'چشمه', 'رفت', '[UNK]', 'رو', 'خشکه', 'میشه']"
لب ولوچه ی اویزان,لب ولوچه‌ی اویزان,abadis_proverb,"['لب', 'ولو', '##چه', '##ی', 'اویزان']"
لبگند,لبگند,abadis_proverb,"['لب', '##گند']"
لج کردن یا لج رفتن,لج کردن یا لج رفتن,abadis_proverb,"['لج', 'کردن', 'یا', 'لج', 'رفتن']"
لفت و لعاب دادن,لفت و لعاب دادن,abadis_proverb,"['لفت', 'و', 'لعاب', 'دادن']"
لق لقه زبان,لق لقه زبان,abadis_proverb,"['لق', 'لق', '##ه', 'زبان']"
لقمه را باید به اندازه دهان برداشت,لقمه را باید به اندازه دهان برداشت,abadis_proverb,"['لقمه', 'را', 'باید', 'به', 'اندازه', 'دهان', 'برداشت']"
لقمه را دور سر چرخاندن,لقمه را دور سر چرخاندن,abadis_proverb,"['لقمه', 'را', 'دور', 'سر', 'چرخاندن']"
لن ترانی گفتن,لن ترانی گفتن,abadis_proverb,"['لن', 'تران', '##ی', 'گفتن']"
لنگ انداختن,لنگ انداختن,abadis_proverb,"['لنگ', 'انداختن']"
لولهنگ یا لولنگ کسی اب برداشتن یا گرفتن,لولهنگ یا لولنگ کسی اب برداشتن یا گرفتن,abadis_proverb,"['لوله', '##نگ', 'یا', 'لول', '##نگ', 'کسی', 'اب', 'برداشتن', 'یا', 'گرفتن']"
لولو سر خرمن,لولو سر خرمن,abadis_proverb,"['لولو', 'سر', 'خرمن']"
لی لی به لالای کسی گذاشتن,لی‌لی به لالا کسی گذاشت#گذار,abadis_proverb,"['لیلی', 'به', 'لالا', 'کسی', 'گذاشت', '[UNK]', 'گذار']"
لی لی به لالای کسی گذاشتن یا الی به لی لی کسی گذاشتن,لی‌لی به لالا کسی گذاشت#گذار یا الی به لی‌لی کسی گذاشت#گذار,abadis_proverb,"['لیلی', 'به', 'لالا', 'کسی', 'گذاشت', '[UNK]', 'گذار', 'یا', 'الی', 'به', 'لیلی', 'کسی', 'گذاشت', '[UNK]', 'گذار']"
لیلی زن بود با مرد,لیلی زن بود#است با مرد,abadis_proverb,"['لیلی', 'زن', 'بود', '[UNK]', 'است', 'با', 'مرد']"
ما هم بله,ما هم بله,abadis_proverb,"['ما', 'هم', 'بله']"
مات ومبهوت یا مات ومتحیر شدن,مات ومبهوت یا مات ومتحیر شدن,abadis_proverb,"['مات', 'وم', '##به', '##وت', 'یا', 'مات', 'ومت', '##حی', '##ر', 'شدن']"
ماجرا کردن,ماجرا کردن,abadis_proverb,"['ماجرا', 'کردن']"
مادر را ببین دختر را بگیر,مادر را دید#بین دختر را بگیر,abadis_proverb,"['مادر', 'را', 'دید', '[UNK]', 'بین', 'دختر', 'را', 'بگیر']"
مادر زنت دوستت داره,مادر زن دوستت داره,abadis_proverb,"['مادر', 'زن', 'دوستت', 'داره']"
مادر فولاد زره,مادر فولاد زره,abadis_proverb,"['مادر', 'فولاد', 'زره']"
مادر کسی را به عزایش نشاندن,مادر کسی را به عزا نشاندن,abadis_proverb,"['مادر', 'کسی', 'را', 'به', 'عزا', 'نشاندن']"
مادر که نباشه باید با زن بابا ساخت,مادر که نباشه باید با زن بابا ساخت,abadis_proverb,"['مادر', 'که', 'نباشه', 'باید', 'با', 'زن', 'بابا', 'ساخت']"
ماده راغلیظ تر کردن,ماده راغلیظ‌تر کردن,abadis_proverb,"['ماده', 'راغ', '##لی', '##ظ', '##تر', 'کردن']"
مار از پونه بدش می اید در لونه اش سبز می شود,مار از پونه بد می‌اید در لونه سبز شد#شو,abadis_proverb,"['مار', 'از', 'پونه', 'بد', 'میاید', 'در', 'لون', '##ه', 'سبز', 'شد', '[UNK]', 'شو']"
مار خوردن و افعی یا اژدها شدن,مار خوردن و افعی یا اژدها شدن,abadis_proverb,"['مار', 'خوردن', 'و', 'افعی', 'یا', 'اژدها', 'شدن']"
مار خوش خط وخال,مار خوش‌خط وخال,abadis_proverb,"['مار', 'خوشخ', '##ط', 'وخ', '##ال']"
مار در استین پروراندن,مار در استین پروراندن,abadis_proverb,"['مار', 'در', 'استین', 'پروراندن']"
مار در استین پروردن یا پروراندن,مار در استین پروردن یا پروراندن,abadis_proverb,"['مار', 'در', 'استین', 'پرورد', '##ن', 'یا', 'پروراندن']"
مار را با زبان از سوراخ بیرون کشیدن یا اوردن,مار را با زبان از سوراخ بیرون کشیدن یا اوردن,abadis_proverb,"['مار', 'را', 'با', 'زبان', 'از', 'سوراخ', 'بیرون', 'کشیدن', 'یا', 'اوردن']"
